flavor15	2015-01-01
flavor15	2015-01-01
flavor8	2015-01-01
flavor2	2015-01-02
flavor8	2015-01-02
flavor15	2015-01-02
flavor15	2015-01-02
flavor6	2015-01-03
flavor12	2015-01-03
flavor12	2015-01-03
flavor15	2015-01-03
flavor12	2015-01-03
flavor8	2015-01-05
flavor11	2015-01-06
flavor11	2015-01-06
flavor11	2015-01-06
flavor11	2015-01-06
flavor17	2015-01-06
flavor9	2015-01-06
flavor6	2015-01-06
flavor9	2015-01-07
flavor15	2015-01-07
flavor8	2015-01-07
flavor12	2015-01-07
flavor12	2015-01-07
flavor12	2015-01-07
flavor12	2015-01-07
flavor12	2015-01-07
flavor8	2015-01-08
flavor9	2015-01-08
flavor12	2015-01-09
flavor11	2015-01-09
flavor23	2015-01-09
flavor23	2015-01-09
flavor12	2015-01-09
flavor12	2015-01-09
flavor12	2015-01-09
flavor12	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor14	2015-01-09
flavor3	2015-01-10
flavor3	2015-01-10
flavor11	2015-01-10
flavor3	2015-01-12
flavor21	2015-01-12
flavor9	2015-01-12
flavor4	2015-01-12
flavor9	2015-01-12
flavor12	2015-01-13
flavor12	2015-01-13
flavor12	2015-01-13
flavor12	2015-01-13
flavor12	2015-01-13
flavor12	2015-01-13
flavor12	2015-01-13
flavor12	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor5	2015-01-13
flavor6	2015-01-13
flavor5	2015-01-13
flavor8	2015-01-13
flavor8	2015-01-13
flavor8	2015-01-13
flavor8	2015-01-13
flavor5	2015-01-14
flavor5	2015-01-14
flavor7	2015-01-14
flavor14	2015-01-14
flavor14	2015-01-14
flavor14	2015-01-14
flavor14	2015-01-14
flavor14	2015-01-14
flavor14	2015-01-14
flavor15	2015-01-14
flavor15	2015-01-14
flavor15	2015-01-14
flavor15	2015-01-14
flavor15	2015-01-14
flavor15	2015-01-14
flavor15	2015-01-14
flavor12	2015-01-14
flavor15	2015-01-15
flavor4	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor9	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor15	2015-01-15
flavor8	2015-01-15
flavor8	2015-01-15
flavor8	2015-01-16
flavor15	2015-01-16
flavor15	2015-01-16
flavor15	2015-01-16
flavor15	2015-01-16
flavor12	2015-01-16
flavor12	2015-01-16
flavor12	2015-01-16
flavor18	2015-01-16
flavor12	2015-01-16
flavor12	2015-01-16
flavor9	2015-01-16
flavor9	2015-01-16
flavor9	2015-01-16
flavor9	2015-01-16
flavor8	2015-01-16
flavor9	2015-01-16
flavor9	2015-01-16
flavor5	2015-01-16
flavor8	2015-01-16
flavor3	2015-01-19
flavor15	2015-01-19
flavor6	2015-01-20
flavor8	2015-01-20
flavor6	2015-01-20
flavor6	2015-01-20
flavor11	2015-01-20
flavor9	2015-01-20
flavor8	2015-01-20
flavor5	2015-01-20
flavor5	2015-01-20
flavor11	2015-01-20
flavor11	2015-01-20
flavor11	2015-01-20
flavor8	2015-01-20
flavor8	2015-01-20
flavor11	2015-01-20
flavor5	2015-01-20
flavor11	2015-01-22
flavor11	2015-01-22
flavor14	2015-01-22
flavor2	2015-01-22
flavor2	2015-01-22
flavor4	2015-01-22
flavor11	2015-01-23
flavor11	2015-01-23
flavor11	2015-01-23
flavor3	2015-01-23
flavor12	2015-01-24
flavor14	2015-01-25
flavor14	2015-01-25
flavor14	2015-01-25
flavor14	2015-01-25
flavor14	2015-01-25
flavor14	2015-01-25
flavor14	2015-01-25
flavor14	2015-01-25
flavor5	2015-01-27
flavor8	2015-01-28
flavor5	2015-01-28
flavor6	2015-01-28
flavor5	2015-01-29
flavor8	2015-01-29
flavor8	2015-01-29
flavor8	2015-01-29
flavor8	2015-01-30
flavor8	2015-01-30
